sales,profit,quantity,discount,row_id,anomaly_pred,anomaly_score
40.752,15.282,3,0.2,6372,1,0.19802614052792689
4.416,1.6008,3,0.2,6373,1,0.19707347764947802
4.344,0.8688,3,0.2,6374,1,0.19653512989316657
74.352,23.235,3,0.2,6375,1,0.19260821503431713
24.784,7.745,1,0.2,6376,1,0.16604232841622313
10.528,3.4216,4,0.2,6377,1,0.19599255771612084
6.48,3.1104,1,0.0,6378,1,0.16599032213823123
11.56,5.6644,2,0.0,6379,1,0.193797143694319
41.92,3.668,5,0.2,6380,1,0.1907497375883203
25.35,7.605,3,0.0,6381,1,0.19878100923909708
559.92,190.3728,8,0.0,6382,1,0.05509937521772479
297.576,-7.4394,3,0.2,6383,1,0.16699487522876894
88.4,11.492,4,0.0,6384,1,0.19450376537230507
94.992,-2.3748,2,0.2,6385,1,0.18863052814046205
659.9,217.767,2,0.0,6386,1,0.08582844706472154
139.96,-22.7435,5,0.2,6387,1,0.16626735913188656
33.52,3.352,2,0.2,6388,1,0.19579795035538122
657.552,49.3164,6,0.2,6389,1,0.11892368711646939
194.352,19.4352,3,0.2,6390,1,0.18141095727342188
1568.61,329.4081,9,0.0,6391,-1,-0.03767212239421236
456.588,-304.392,2,0.7,6392,-1,-0.024444864934904165
17.3,8.304,1,0.0,6393,1,0.16918559774705916
5.08,1.651,1,0.2,6394,1,0.1688182816856581
563.4,67.608,4,0.0,6395,1,0.1342688026400734
73.36,19.8072,7,0.0,6396,1,0.16495451347998186
59.976,11.9952,3,0.2,6397,1,0.1996837139839936
160.0,62.4,8,0.0,6398,1,0.1236973605172218
4499.985,-6599.978,5,0.7,6399,-1,-0.1376677577819886
319.92,118.3704,8,0.0,6400,1,0.09317709792422818
59.98,17.994,2,0.0,6401,1,0.1911161383576631
3406.664,160.3136,8,0.15,6402,-1,-0.0584425319481332
595.38,297.69,6,0.0,6403,1,0.07064086234913192
313.176,-120.0508,2,0.4,6404,1,0.05928438447972051
64.96,19.488,2,0.0,6405,1,0.1897286864726554
17.856,4.2408,4,0.2,6406,1,0.19910170323659088
37.17,10.4076,9,0.0,6407,1,0.12946148817217623
3.744,-2.6208,4,0.7,6408,1,0.10573882647292171
91.68,45.84,3,0.0,6409,1,0.1833163659839792
7.312,2.5592,2,0.2,6410,1,0.19370375640501802
78.759,-57.7566,9,0.7,6411,1,0.018718930260900324
33.75,16.875,5,0.0,6412,1,0.18963548767602367
70.98,34.7802,7,0.0,6413,1,0.15984076066974728
13.36,6.4128,2,0.0,6414,1,0.19138877239522428
59.97,14.9925,3,0.0,6415,1,0.19724954002928835
3040.0,1459.2,8,0.0,6416,-1,-0.1316830408875579
494.982,-115.4958,3,0.4,6417,1,0.059874097846306595
31.56,10.4148,3,0.0,6418,1,0.19823856667874384
331.023,-114.3534,7,0.45,6419,1,0.035316993962116405
167.292,29.7408,6,0.1,6420,1,0.14293672912311306
34.65,9.702,3,0.0,6421,1,0.19912318604551482
152.0,69.92,5,0.0,6422,1,0.1678025973407818
79.95,38.376,5,0.0,6423,1,0.18155967771183867
204.95,100.4255,5,0.0,6424,1,0.15551748683105748
25.92,12.4416,4,0.0,6425,1,0.1975154392074282
39.808,3.9808,4,0.2,6426,1,0.19953650861681643
97.984,-24.496,2,0.2,6427,1,0.17821585446211846
62.4,19.5,6,0.2,6428,1,0.17333058374085147
34.95,15.378,5,0.0,6429,1,0.191705883112594
116.76,14.595,1,0.2,6430,1,0.15667113537774013
271.992,23.7993,1,0.2,6431,1,0.12458210563865707
347.802,-24.843,7,0.3,6432,1,0.0880886090698203
182.67,52.9743,3,0.0,6433,1,0.17205673289024187
7.16,3.4368,2,0.0,6434,1,0.19232544462299067
7.434,-5.6994,6,0.7,6435,1,0.07563436855978312
6.888,-5.0512,2,0.7,6436,1,0.10572386912862686
12.672,2.6928,8,0.2,6437,1,0.13986535421406238
32.544,-7.7292,2,0.2,6438,1,0.19386473091737794
1263.3,315.825,6,0.0,6439,1,0.030395080966844956
1126.02,56.301,3,0.0,6440,1,0.07828903165403989
101.7,6.102,6,0.0,6441,1,0.17402405045184516
340.182,-73.7061,3,0.4,6442,1,0.08458997502166488
242.176,-302.72,4,0.6,6443,1,0.012280714081023714
58.416,16.7946,2,0.2,6444,1,0.1918057295460982
389.97,35.0973,3,0.0,6445,1,0.15867649441917026
33.36,16.68,4,0.0,6446,1,0.19557541068857554
13.76,6.3296,2,0.0,6447,1,0.19342678300463317
496.86,24.843,7,0.0,6448,1,0.1126865572073617
36.192,2.7144,1,0.2,6449,1,0.16901740546664762
172.5,51.75,2,0.0,6450,1,0.1666666041853881
248.43,-17.745,5,0.3,6451,1,0.13049698485735944
85.246,-1.2178,2,0.3,6452,1,0.15344913245146924
751.92,150.384,4,0.0,6453,1,0.09359314027167881
31.96,1.598,2,0.0,6454,1,0.19619546499117857
17.31,5.193,3,0.0,6455,1,0.2000824986501235
111.15,48.906,5,0.0,6456,1,0.17704653722285696
16.74,4.3524,2,0.0,6457,1,0.19825751021930815
